1360225275000,120.0
1360225575000,144.0
1360225875000,168.0
1360226175000,120.0
1360226475000,168.0
1360226775000,192.0
1360227298000,192.0
1360227598000,144.0
1360227898000,120.0
1360228198000,120.0
1360228498000,96.0
1360228798000,144.0
1360229098000,144.0
1360229398000,120.0
1360229698000,192.0
1360229998000,144.0
1360230298000,168.0
1360230598000,168.0
1360230898000,168.0
1360231198000,120.0
1360231498000,120.0
1360231798000,120.0
1360232098000,144.0
1360232398000,120.0
1360233162000,600.0
1360233462000,480.0
1360233762000,96.0
1360234408000,0.0
1360234708000,0.0
1360235383000,120.0
1360235683000,120.0
1360235983000,96.0
1360236283000,144.0
1360236821000,120.0
1360236881000,120.0
1360236941000,120.0
1360237001000,120.0
1360237400000,240.0
1360237460000,120.0
1360237520000,120.0
1360237580000,120.0
1360237640000,120.0
1360237940000,120.0
1360238000000,120.0
1360238060000,120.0
1360238120000,120.0
1360238180000,120.0
1360238240000,120.0
1360238300000,120.0
1360238420000,240.0
1360238480000,120.0
1360239163000,156.0
1360239763000,780.0
1360240363000,396.0
1360240963000,300.0
1360241563000,216.0
1360242163000,132.0
1360242763000,276.0
1360243363000,336.0
1360243963000,108.0
1360244563000,132.0
1360245163000,156.0
1360245763000,120.0
1360246363000,156.0
1360246963000,156.0
1360247563000,168.0
1360248163000,144.0
1360248763000,120.0
1360249363000,984.0
1360249963000,864.0
1360250563000,2064.0
1360251163000,276.0
1360251763000,600.0
1360252363000,192.0
1360252963000,252.0
1360253563000,552.0
1360254163000,204.0
1360254763000,252.0
1360255632000,288.0
1360256232000,300.0
1360256832000,384.0
1360257432000,1452.0
1360258032000,1500.0
1360258632000,528.0
1360259232000,1056.0
1360259832000,648.0
1360260432000,360.0
1360261032000,324.0
1360261632000,276.0
1360262582000,240.0
1360263182000,252.0
1360263782000,588.0
1360264382000,276.0
1360264982000,264.0
1360265582000,300.0
1360266182000,780.0
1360266782000,456.0
1360267382000,300.0
1360267982000,312.0
1360268582000,300.0
